Call of Duty: Black Ops,8.25,29.4	
Call of Duty: Finest Hour,7.2,4.5	
Call of Duty: Ghosts,8.8,27.38	
Call of Duty: Modern Warfare 2,9.5,25.09	
Call of Duty: Modern Warfare 3,7.875,30.83	
Call of Duty: Modern Warfare: Mobilized,8.0,0.43	
Call of Duty: Roads to Victory,6.6,2.14	
Call of Duty: World at War,8.4,15.87	
Call of Juarez,7.15,0.2	
Call of Juarez: Bound in Blood,7.63333333333,1.53	
Call of Juarez: The Cartel,4.5,0.68	
Calling,3.5,0.12	
Calvin Tucker's Redneck Jamboree,3.4,0.31	
Candace Kane's Candy Factory,5.5,0.19	
Capcom Classics Collection Reloaded,8.0,0.33	
Capcom Classics Collection Remixed,7.4,0.3	
Capcom Fighting Evolution,6.8,0.24	
Capcom vs. SNK 2 EO,7.6,0.21	
Capcom vs. SNK 2: Mark of the Millennium 2001,8.4,0.75	
Capcom vs. SNK: Millennium Fight 2000 Pro,8.2,0.05	
Captain America: Super Soldier,5.2,0.46	
Captain Toad: Treasure Tracker,8.2,1.19	
Car Battler Joe,7.7,0.02	
Cardinal Syn,5.5,0.15	
Carmageddon 64,1.3,0.01	
Carmageddon: Max Damage,5.4,0.01	
Carmen Sandiego: The Secret of the Stolen Drums,5.6,0.1	
Carnage Heart,9.2,0.11	
Carnival Games,6.5,6.15	
Carol Vorderman's Sudoku,7.8,0.34	
Cars 2,7.625,3.66	
Cars Mater-National Championship,6.8,0.49	
Cars,6.53,6.86	
Cartoon Network Racing,4.6,0.05	
Cartoon Network: Punch Time Explosion XL,5.0,0.23	
Cartoon Network: Punch Time Explosion,4.5,0.1	
Carve,5.5,0.05	
Casper,5.0,0.84	
Casper: Spirit Dimensions,5.75,0.16	
Castle of Shikigami III,7.9,0.04	
Castlevania Chronicles,7.8,0.13	
Castlevania II: Simon's Quest,7.0,0.93	
Castlevania III: Dracula's Curse,9.0,0.85	
Castlevania Judgment,7.5,0.18	
Castlevania,8.0,1.87	
Castlevania: Aria of Sorrow,9.3,0.28	
Castlevania: Circle of the Moon,9.0,0.89	
Castlevania: Curse of Darkness,7.8,0.54	
Castlevania: Dawn of Sorrow,9.3,0.47	
Castlevania: Harmony of Dissonance,9.2,0.26	
Castlevania: Lament of Innocence,9.0,0.94	
Castlevania: Legacy of Darkness,6.8,0.13	
Castlevania: Lords of Shadow 2,6.5,0.36	
Castlevania: Lords of Shadow,7.5,1.79	
Castlevania: Order of Ecclesia,9.0,0.41	
Castlevania: Portrait of Ruin,8.9,0.43	
Castlevania: Symphony of the Night,9.25,1.27	
Castlevania: The Dracula X Chronicles,8.0,0.42	
Castrol Honda Superbike Racing,4.0,0.13	
Catan,7.6,0.03	
Catherine,9.0,1.04	
Catwoman,4.21666666667,0.34	
Catz,5.96666666667,0.8	
Cave Story 3D,8.5,0.14	
Cel Damage,6.4,0.18	
Celebrity Sports Showdown,4.0,0.45	
Centipede,4.66666666667,2.01	
Ceville,9.0,0.02	
Chameleon Twist 2,6.1,0.05	
Chameleon Twist,6.5,0.11	
Chameleon,4.25,0.08	
Champions: Return to Arms,7.6,0.65	
Championship Bass,8.25,0.32	
Championship Foosball,3.5,0.09	
Championship Pony,5.0,0.01	
Championship Surfer,5.93333333333,0.06	
Chaos Legion,6.5,0.3	
Chaos Wars,7.5,0.04	
Chaotic: Shadow Warriors,5.83333333333,0.68	
Charlie and the Chocolate Factory,4.5,0.94	
Charlie's Angels,4.0,0.02	
Charlotte's Web,6.25,0.09	
Chase: Hollywood Stunt Driver,4.9,0.12	
Chessmaster II,8.0,0.15	
Chessmaster,8.3,0.56	
Chessmaster: The Art of Learning,7.2,0.28	
Chicago Enforcer,4.0,0.02	
